lemma,Norval_frame,UD_frame,example,theta1,theta2,theta3,theta4
abbreviere,tr,nsubj-obj,vi abbrevierer betegnelsene,agent,patient,,
abdisere,intr,nsubj,abbedissen abdiserer,agent,,,
abonnere,intr,nsubj,vi abonnerer,agent,,,
abonnere-på,intrObl-oblN,nsubj-obl,vi abonnerer på avisen,agent,theme,,
abortere-fra,intrObl-oblEqSuInf,nsubj-advcl,vi aborterer fra å forhandle i det uvisse,agent,theme,,
abortere-fra,intrObl-oblN,nsubj-obl,vi aborterer fra forhandlingene,agent,theme,,
abortere,intr,nsubj,hun aborterer,agent,,,
abortere,tr,nsubj-obj,vi aborterer forhandlingene,agent,theme,,
absentere,tr-obRefl,nsubj-obj,hun absenterer seg,agent,null-role,,
absolvere,intr,nsubj,han absolverer,agent,,,
absolvere,tr,nsubj-obj,han absolverer ritualet,agent,beneficiary,,
absorbere,tr,nsubj-obj,papiret absorberer vannet,goal,theme,,
abstrahere-fra,intrObl-oblN,nsubj-obl,formelen abstraherer fra det virkelige forløpet,cause,source,,
abstrahere-fra,intrObl-oblN,nsubj-obl,professoren abstraherer fra det virkelige forløpet,agent,source,,
abstrahere-fra,trObl-oblN,nsubj-obj-obl,vi abstraherer et mønster fra dette tilfellet,agent,result,source,
abstrahere,intr,nsubj,formelen abstraherer,theme,,,
abstrahere,intr,nsubj,professoren abstraherer,agent,,,
abstrahere,tr,nsubj-obj,bildet abstraherer en sandstrand,pivot,theme,,
adaptere-til,trObl-oblN,nsubj-obj-obl,dokumentene adapterer virksomheten til de strategiske mål,cause,patient,goal,
adaptere-til,trObl-oblN,nsubj-obj-obl,vi adapterer virksomheten til de strategiske mål,agent,patient,goal,
adaptere,tr,nsubj-obj,målene adapterer vår oppførsel,cause,patient,,
adaptere,tr,nsubj-obj,vi adapterer vår oppførsel,agent,patient,,
addere,tr,nsubj-obj,vi adderer tallene,agent,theme,,
adherere-til,intrObl-oblEqSuInf,nsubj-advcl,vi adhererer til å følge vanlige prosedyrer,agent,theme,,
adherere-til,intrObl-oblINTERR,nsubj-advcl,planen adhererer til hva reglementet sier,agent,theme,,
adherere-til,intrObl-oblN,nsubj-obl,vi adhererer til reglementet,agent,theme,,
adjektivere,tr,nsubj-obj,endelsen adjektiverer verbet,cause,patient,,
adjektivere,tr,nsubj-obj,professoren adjektiverer verbet,agent,patient,,
adle,tr,nsubj-obj,dronningen adler henne,agent,theme,,
adlyde,intr,nsubj,soldatene adlyder,agent,,,
adlyde,tr,nsubj-obj,vi adlyder kommandanten,agent,theme,,
administrere,tr,nsubj-obj,vi administrerer avdelingen,agent,theme,,
adoptere-bort,trPrtcl,nsubj-obj,vi adopterer barna bort,agent,theme,,
adoptere,tr,nsubj-obj,vi adopterer barna,agent,theme,,
adressere-til,trObl-oblN,nsubj-obj-obl,jeg adresserer brevet til deg,agent,theme,destination,
adressere,tr,nsubj-obj,jeg adresserer brevet,agent,destination,,
adressere,tr,nsubj-obj,styret adresserer saken,agent,theme,,
adskille-fra,trObl-oblN,nsubj-obj-obl,vi adskiller dem fra hverandre,agent,patient,co-patient,
adskille-fra,trObl-obRefl-oblN,nsubj-obj-obl,hun adskiller seg fra andre,theme,null-role,co-theme,
adskille,tr,nsubj-obj,vi adskiller de kjempende,agent,patient,,
adsorbere,tr,nsubj-obj,materialet adsorberer stoffet,goal,theme,,
advare-mot,intrObl-oblAbsinf,nsubj-advcl,vi advarer mot å reise til de landene,agent,topic,,
advare-mot,intrObl-oblDECL,nsubj-advcl,vi advarer mot at avtalen inngåes,agent,topic,,
advare-mot,intrObl-oblN,nsubj-obl,vi advarer mot reising,agent,topic,,
advare-mot,trObl-oblDECL,nsubj-obj-advcl,vi advarer dem mot at sykdommen undervurderes,agent,recipient,topic,
advare-mot,trObl-oblEqObInf,nsubj-obj-advcl,vi advarer dem mot å reise dit,agent,recipient,topic,
advare-mot,trObl-oblN,nsubj-obj-obl,vi advarer dem mot farene,agent,recipient,topic,
advare-om,intrObl-oblDECL,nsubj-advcl,vi advarer om at broen er risikabel,agent,topic,,
advare-om,intrObl-oblN,nsubj-obl,vi advarer om risikoen,agent,topic,,
advare-om,trObl-oblDECL,nsubj-obj-advcl,vi advarer dem om at sykdommen er dødelig,agent,recipient,topic,
advare,tr,nsubj-obj,vi advarer turistene,agent,recipient,,
advisere,tr,nsubj-obj,vi adviserer novisene,agent,recipient,,
affektere,tr,nsubj-obj,sangen affekterer henne,stimulus,experiencer,,
affisere,tr,nsubj-obj,nyheten affiserer oss,stimulus,experiencer,,
afrikanisere,tr,nsubj-obj,vi afrikaniserer hårmotene,agent,patient,,
agere,copN,nsubj-xcomp,han agerer multimillionær,agent,attribute,,
agere,intr,nsubj,vi agerer,agent,,,
agere,intrScpr-scSuNrg-scPred,nsubj-xcomp,han agerer interessert,agent,attribute,,
age,tr-obRefl,nsubj-obj,hun ager seg,experiencer,null-role,,
agglutinere,intr,nsubj,bitene agglutinerer,patient,,,
agglutinere,tr,nsubj-obj,tyrkisk agglutinerer morfemene,cause,patient,,
agglutinere,tr,nsubj-obj,vi agglutinerer bitene,agent,patient,,
agitere-for,intrObl-oblN,nsubj-obl,vi agiterer for saken,agent,beneficiary,,
agitere,intr,nsubj,aktivistene agiterer,stimulus,,,
agne,tr,nsubj-obj,vi agner metemarken,agent,patient,,
ajourføre,tr,nsubj-obj,vi ajourfører oversikten,agent,theme,,
ake,intr,nsubj,barna aker,theme,,,
akkedere,intr,nsubj,forhandlerne akkederer,agent,,,
akkedere-med,intrObl-oblN,nsubj-obl,forhandlerne akkederer med oss,agent,co-agent,,
akke-over,trObl-obRefl-oblDECL,nsubj-obj-advcl,han akker seg over at administrasjonen er inkompetent,agent,topic,,
akke-over,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,han akker seg over å måtte sitte i flere møter,agent,topic,,
akke-over,trObl-obRefl-oblINTERR,nsubj-obj-advcl,hun akker seg over hva de finner på,agent,null-role,topic,
akke-over,trObl-obRefl-oblN,nsubj-obj-obl,hun akker seg over administrasjonen,agent,null-role,topic,
akke,tr-obRefl,nsubj-obj,hun akker seg,agent,null-role,,
akklimatisere,tr,nsubj-obj,høyden akklimatiserer deltagerne,cause,patient,,
akklimatisere,tr,nsubj-obj,vi akklimatiserer deltagerne,agent,patient,,
akklimatisere,tr-obRefl,nsubj-obj,deltagerne akklimatiserer seg,patient,null-role,,
akkommodere,tr,nsubj-obj,vi akkommoderer deltagerne,agent,theme,,
akkommodere,tr-obRefl,nsubj-obj,deltagerne akkommoderer seg,theme,null-role,,
akkompagnere,intr,nsubj,bandet akkompagnerer,agent,,,
akkompagnere,tr,nsubj-obj,bandet akkompagnerer sangeren,agent,theme,,
akkordere,intr,nsubj,representantene akkorderer,agent,,,
akkordere-med,intrObl-oblN,nsubj-obl,representantene akkorderer med forslaget,agent,topic,,
